Variable,Description,Notes,,,,,,,,,,,,,,
airline_iata,IATA code of the operator in nominal cases.,"An ICAO -> IATA code conversion was performed for some sources, and the ICAO code was kept if no match was found.",,,,,,,,,,,,,,
acft_icao,ICAO code of the aircraft type,,,,,,,,,,,,,,,
acft_class,"Aircraft class identifier, own classification",,,,,,,,,,,,,,,
WB,Wide Body,,,,,,,,,,,,,,,
NB,Narrow Body,,,,,,,,,,,,,,,
RJ,Regional Jet,,,,,,,,,,,,,,,
PJ,Private Jet,,,,,,,,,,,,,,,
TP,Turbo Propeller,,,,,,,,,,,,,,,
PP,Piston Propeller,,,,,,,,,,,,,,,
HE,Helicopter,,,,,,,,,,,,,,,
OTHER,other,,,,,,,,,,,,,,,
seymour_proxy,Aircraft code for Seymour Surrogate,"(https://doi.org/10.1016/j.trd.2020.102528), own classification to derive proxy aircraft when nominal aircraft type unavailable in the aircraft performance model.",,,,,,,,,,,,,,
source,"Original data source for the record, before compilation and enrichment",,,,,,,,,,,,,,,
ANAC,Brasilian Civil Aviation Authorities,,,,,,,,,,,,,,,
AUS Stats,Australian Civil Aviation Authorities,,,,,,,,,,,,,,,
BTS,US Bureau of Transportation Statistics T100,,,,,,,,,,,,,,,
Estimation,"Own model, estimation on Wikipedia-parsed route database",,,,,,,,,,,,,,,
Eurocontrol,Aggregation and enrichment of R&D database,,,,,,,,,,,,,,,
OpenSky,OpenSky,,,,,,,,,,,,,,,
World Bank,World Bank,,,,,,,,,,,,,,,
seats,"Number of seats available for the data entry, AFTER airport residual scaling",,,,,,,,,,,,,,,
n_flights,"Number of flights of the data entry, when available",,,,,,,,,,,,,,,
iata_departure,IATA code of the origin airports.,Some BTS inhouse identifiers could remain but it is marginal.,,,,,,,,,,,,,,
iata_arrival,IATA code of the destination airports.,Some BTS inhouse identifiers could remain but it is marginal.,,,,,,,,,,,,,,
departure_lon,Origin longitude coordinates,could be NaN if the IATA identifier is erroneous,,,,,,,,,,,,,,
departure_lat,Origin latitude coordinates,could be NaN if the IATA identifier is erroneous,,,,,,,,,,,,,,
arrival_lon,destination longitude coordinates,could be NaN if the IATA identifier is erroneous,,,,,,,,,,,,,,
arrival_lat,destination latitude coordinates,could be NaN if the IATA identifier is erroneous,,,,,,,,,,,,,,
departure_country,Origin country ISO2 code.,WARNING: disable NA (Namibia) as default NaN at import,,,,,,,,,,,,,,
arrival_country,Destination country ISO2 code.,WARNING: disable NA (Namibia) as default NaN at import,,,,,,,,,,,,,,
departure_continent,Origin continent code,WARNING: disable NA (North America) as default NaN at import,,,,,,,,,,,,,,
arrival_continent,Destination continent code,WARNING: disable NA (North America) as default NaN at import,,,,,,,,,,,,,,
seats_no_est_scaling,"Number of seats available for the data entry, BEFORE airport residual scaling",,,,,,,,,,,,,,,
distance_km,Flight distance (km),,,,,,,,,,,,,,,
ask,Available Seat Kilometres,,,,,,,,,,,,,,,
rpk,Revenue Passenger Kilometres,simple calculation from ASK using IATA average load factor),,,,,,,,,,,,,,
fuel_burn_seymour,Fuel burn per flight (kg) when seymour proxy available,,,,,,,,,,,,,,,
fuel_burn,Total fuel burn of the data entry (kg),,,,,,,,,,,,,,,
co2,Total CO2 emissions of the data entry (kg),,,,,,,,,,,,,,,
domestic,"Domestic/international boolean (Domestic=1, International=0)",,,,,,,,,,,,,,,